Date,LocationID,Week_days,Daily_trips,1_day_lag,2_days_lag,3_days_lag,4_days_lag,5_days_lag,6_days_lag,7_days_lag,8_days_lag,9_days_lag,10_days_lag
2023-01-16,158,Monday,542,1164.0,1325.0,994.0,812.0,713.0,485.0,442.0,898.0,1177.0,832.0
2023-01-16,161,Monday,3107,3152.0,3916.0,4636.0,5627.0,5788.0,5323.0,3953.0,2265.0,3273.0,4306.0
2023-01-16,162,Monday,2526,2279.0,2784.0,3584.0,4413.0,4299.0,4100.0,3267.0,1938.0,2514.0,3320.0
2023-01-16,163,Monday,2287,2514.0,3033.0,2962.0,3205.0,3111.0,3104.0,2376.0,1899.0,2375.0,2638.0
2023-01-16,164,Monday,1830,2206.0,2477.0,2499.0,2569.0,2390.0,2301.0,1742.0,1724.0,2170.0,2047.0
2023-01-16,166,Monday,285,303.0,343.0,470.0,492.0,454.0,410.0,412.0,291.0,399.0,487.0
2023-01-16,170,Monday,2146,2297.0,2734.0,3087.0,3493.0,3439.0,3186.0,2556.0,1989.0,2606.0,2949.0
2023-01-16,186,Monday,3499,3318.0,3515.0,3871.0,4115.0,3931.0,3784.0,3290.0,3002.0,3300.0,3448.0
2023-01-16,211,Monday,529,951.0,1159.0,780.0,625.0,559.0,516.0,437.0,755.0,1032.0,716.0
2023-01-16,229,Monday,1476,1745.0,2197.0,2285.0,2352.0,2283.0,2241.0,1842.0,1600.0,2153.0,2189.0
2023-01-16,230,Monday,2924,4069.0,4270.0,3556.0,3743.0,3783.0,3231.0,2462.0,2969.0,3023.0,2982.0
2023-01-16,231,Monday,680,973.0,1283.0,1364.0,1566.0,1492.0,1376.0,1073.0,900.0,1302.0,1266.0
2023-01-16,233,Monday,939,1004.0,1225.0,1407.0,1478.0,1358.0,1267.0,1149.0,874.0,1099.0,1171.0
2023-01-16,234,Monday,1877,2464.0,3135.0,2893.0,3078.0,3175.0,2841.0,2050.0,2012.0,2873.0,2670.0
2023-01-16,236,Monday,3004,2732.0,3600.0,4930.0,5597.0,5320.0,5304.0,4587.0,3063.0,4171.0,5301.0
2023-01-16,237,Monday,3414,2851.0,3952.0,5069.0,5893.0,5761.0,5583.0,4550.0,2990.0,4291.0,5177.0
2023-01-16,238,Monday,1475,1600.0,1807.0,2338.0,2400.0,2360.0,2179.0,2013.0,1710.0,2029.0,2456.0
2023-01-16,239,Monday,2207,2675.0,3202.0,3121.0,2927.0,2961.0,2731.0,2536.0,2690.0,3293.0,3159.0
2023-01-16,246,Monday,2212,2284.0,2138.0,1415.0,1544.0,1334.0,1160.0,912.0,1170.0,1554.0,1222.0
2023-01-16,249,Monday,1617,3324.0,3978.0,2558.0,1997.0,1816.0,1583.0,1286.0,2582.0,3733.0,2203.0
2023-01-16,261,Monday,269,486.0,550.0,414.0,468.0,401.0,394.0,319.0,325.0,490.0,419.0
2023-01-16,262,Monday,986,986.0,1229.0,1609.0,1630.0,1696.0,1622.0,1399.0,1076.0,1436.0,1699.0
2023-01-16,263,Monday,1580,2151.0,2589.0,2451.0,2289.0,2046.0,1955.0,1797.0,2136.0,2656.0,2420.0
2023-01-17,13,Tuesday,546,318.0,339.0,420.0,572.0,645.0,683.0,633.0,456.0,278.0,417.0
2023-01-17,24,Tuesday,274,197.0,232.0,278.0,311.0,311.0,300.0,271.0,239.0,225.0,320.0
2023-01-17,43,Tuesday,1471,1229.0,1399.0,1938.0,1806.0,1696.0,1549.0,1550.0,1376.0,1340.0,1919.0
2023-01-17,48,Tuesday,2458,2178.0,3283.0,3712.0,2966.0,2865.0,2638.0,2501.0,2039.0,2725.0,3232.0
2023-01-17,50,Tuesday,534,521.0,573.0,648.0,685.0,632.0,617.0,553.0,464.0,578.0,651.0
2023-01-17,68,Tuesday,2513,2163.0,2688.0,3128.0,2807.0,2792.0,2549.0,2289.0,1897.0,1953.0,2599.0
2023-01-17,70,Tuesday,483,573.0,416.0,354.0,530.0,440.0,410.0,432.0,470.0,410.0,307.0
2023-01-17,75,Tuesday,688,334.0,440.0,506.0,709.0,685.0,666.0,645.0,636.0,479.0,635.0
2023-01-17,79,Tuesday,1407,1594.0,4365.0,5176.0,2770.0,2023.0,1801.0,1458.0,1221.0,3421.0,4470.0
2023-01-17,87,Tuesday,460,291.0,384.0,510.0,515.0,559.0,543.0,446.0,358.0,320.0,444.0
2023-01-17,88,Tuesday,216,134.0,160.0,239.0,239.0,288.0,260.0,238.0,173.0,141.0,222.0
2023-01-17,90,Tuesday,1384,1254.0,1816.0,2182.0,1761.0,1719.0,1554.0,1557.0,1144.0,1491.0,1991.0
2023-01-17,100,Tuesday,1829,1482.0,1536.0,1739.0,1691.0,1911.0,1835.0,1780.0,1441.0,1143.0,1479.0
2023-01-17,107,Tuesday,2005,1468.0,2281.0,2910.0,2467.0,2365.0,2320.0,2170.0,1606.0,1852.0,2654.0
2023-01-17,113,Tuesday,1225,962.0,1292.0,1850.0,1575.0,1388.0,1283.0,1251.0,998.0,1059.0,1628.0
2023-01-17,114,Tuesday,933,956.0,2031.0,2520.0,1526.0,1076.0,1004.0,893.0,665.0,1619.0,2236.0
2023-01-17,125,Tuesday,455,324.0,476.0,619.0,444.0,519.0,531.0,403.0,336.0,420.0,575.0
2023-01-17,132,Tuesday,5474,6234.0,5798.0,5359.0,5780.0,5210.0,4629.0,4580.0,5590.0,6455.0,5158.0
2023-01-17,137,Tuesday,1168,737.0,1077.0,1278.0,1445.0,1360.0,1322.0,1202.0,1046.0,984.0,1283.0
2023-01-17,138,Tuesday,3456,3880.0,2863.0,2471.0,4182.0,3285.0,2432.0,2772.0,2972.0,3034.0,1961.0
2023-01-17,140,Tuesday,2641,1237.0,1307.0,1605.0,2485.0,2712.0,2769.0,2740.0,2483.0,1308.0,1616.0
2023-01-17,141,Tuesday,2501,2035.0,2376.0,2954.0,2927.0,2865.0,2859.0,2659.0,2290.0,2232.0,2995.0
2023-01-17,142,Tuesday,3278,2420.0,3119.0,3797.0,3473.0,3514.0,3409.0,3224.0,2557.0,2696.0,3661.0
2023-01-17,143,Tuesday,1152,870.0,819.0,1037.0,1234.0,1360.0,1294.0,1265.0,1141.0,846.0,1059.0
2023-01-17,144,Tuesday,529,582.0,1052.0,1308.0,923.0,656.0,659.0,586.0,466.0,780.0,1175.0
2023-01-17,148,Tuesday,405,552.0,1974.0,2286.0,915.0,678.0,573.0,448.0,313.0,1784.0,2095.0
2023-01-17,151,Tuesday,792,670.0,709.0,860.0,1011.0,883.0,902.0,846.0,817.0,744.0,927.0
2023-01-17,158,Tuesday,579,542.0,1164.0,1325.0,994.0,812.0,713.0,485.0,442.0,898.0,1177.0
2023-01-17,161,Tuesday,5462,3107.0,3152.0,3916.0,4636.0,5627.0,5788.0,5323.0,3953.0,2265.0,3273.0
2023-01-17,162,Tuesday,4145,2526.0,2279.0,2784.0,3584.0,4413.0,4299.0,4100.0,3267.0,1938.0,2514.0
2023-01-17,163,Tuesday,3035,2287.0,2514.0,3033.0,2962.0,3205.0,3111.0,3104.0,2376.0,1899.0,2375.0
2023-01-17,164,Tuesday,2209,1830.0,2206.0,2477.0,2499.0,2569.0,2390.0,2301.0,1742.0,1724.0,2170.0
2023-01-17,166,Tuesday,519,285.0,303.0,343.0,470.0,492.0,454.0,410.0,412.0,291.0,399.0
2023-01-17,170,Tuesday,3268,2146.0,2297.0,2734.0,3087.0,3493.0,3439.0,3186.0,2556.0,1989.0,2606.0
2023-01-17,186,Tuesday,3762,3499.0,3318.0,3515.0,3871.0,4115.0,3931.0,3784.0,3290.0,3002.0,3300.0
2023-01-17,211,Tuesday,481,529.0,951.0,1159.0,780.0,625.0,559.0,516.0,437.0,755.0,1032.0
